call_id,customer_id,call_duration_seconds,call_time_of_day,call_outcome,order_value_vnd,agent_id,follow_up_required
CALL-34127,CUST-21583,414,Afternoon (13-17h),Success,1129000,AGT-007,False
CALL-31247,CUST-21583,44,Afternoon (13-17h),Success,522000,AGT-004,False
CALL-72595,CUST-21583,67,Evening (17-20h),Not Interested,0,AGT-001,False
CALL-23621,CUST-21583,107,Afternoon (13-17h),Success,1009000,AGT-003,True
CALL-69065,CUST-21583,62,Afternoon (13-17h),Success,586000,AGT-019,False
CALL-85933,CUST-21583,132,Morning (8-11h),Success,2103000,AGT-009,False
CALL-72979,CUST-21583,180,Afternoon (13-17h),Success,1258000,AGT-001,False
CALL-10224,CUST-76573,69,Morning (8-11h),Not Interested,0,AGT-006,False
CALL-30511,CUST-22920,232,Afternoon (13-17h),Success,1598000,AGT-001,False
CALL-30727,CUST-22920,89,Noon (11-13h),Call Back Later,0,AGT-009,True
CALL-36956,CUST-22920,62,Afternoon (13-17h),Not Interested,0,AGT-002,False
CALL-11908,CUST-22920,27,Noon (11-13h),Not Interested,0,AGT-016,False
CALL-18240,CUST-22920,194,Afternoon (13-17h),Success,669000,AGT-001,False
CALL-20828,CUST-22920,152,Morning (8-11h),Success,826000,AGT-012,True
CALL-12329,CUST-22920,42,Morning (8-11h),Not Interested,0,AGT-001,False
CALL-44063,CUST-38034,55,Noon (11-13h),No Answer,0,AGT-004,False
CALL-33479,CUST-38034,142,Noon (11-13h),Success,400000,AGT-007,False
CALL-59275,CUST-38034,185,Morning (8-11h),Success,1095000,AGT-004,False
CALL-36243,CUST-94237,156,Noon (11-13h),Success,1914000,AGT-002,False
CALL-62042,CUST-94237,193,Afternoon (13-17h),Success,462000,AGT-002,False
CALL-57808,CUST-94237,505,Afternoon (13-17h),Call Back Later,0,AGT-020,True
CALL-15042,CUST-94237,235,Morning (8-11h),Call Back Later,0,AGT-003,True
CALL-68611,CUST-94237,198,Morning (8-11h),Success,740000,AGT-005,False
CALL-23759,CUST-94237,75,Noon (11-13h),Success,977000,AGT-018,False
CALL-18849,CUST-97034,37,Afternoon (13-17h),Success,799000,AGT-001,False
CALL-19269,CUST-97034,310,Noon (11-13h),Call Back Later,0,AGT-005,True
CALL-34042,CUST-91323,78,Afternoon (13-17h),No Answer,0,AGT-013,False
CALL-94190,CUST-91323,168,Evening (17-20h),Success,633000,AGT-007,False
CALL-22607,CUST-91323,25,Morning (8-11h),Not Interested,0,AGT-002,False
CALL-57911,CUST-91323,15,Afternoon (13-17h),No Answer,0,AGT-014,False
CALL-32519,CUST-91323,233,Morning (8-11h),Success,1151000,AGT-011,False
CALL-72479,CUST-35257,60,Afternoon (13-17h),Not Interested,0,AGT-002,False
CALL-28921,CUST-35257,167,Noon (11-13h),Success,693000,AGT-001,False
CALL-15072,CUST-35257,61,Afternoon (13-17h),Success,714000,AGT-007,True
CALL-86440,CUST-35257,181,Evening (17-20h),Success,595000,AGT-018,False
CALL-20042,CUST-56513,112,Morning (8-11h),Call Back Later,0,AGT-019,True
CALL-72807,CUST-45732,96,Afternoon (13-17h),No Answer,0,AGT-014,False
CALL-62731,CUST-45732,155,Afternoon (13-17h),Success,1324000,AGT-004,False
CALL-61404,CUST-45732,175,Afternoon (13-17h),Success,350000,AGT-006,False
CALL-50354,CUST-45732,66,Morning (8-11h),Success,1006000,AGT-007,False
CALL-48522,CUST-45732,168,Morning (8-11h),Success,554000,AGT-001,False
CALL-77956,CUST-45732,178,Afternoon (13-17h),Success,1485000,AGT-005,False
CALL-63701,CUST-60587,230,Morning (8-11h),Success,819000,AGT-001,False
CALL-36712,CUST-60587,287,Afternoon (13-17h),Success,1094000,AGT-015,True
CALL-30971,CUST-60587,116,Afternoon (13-17h),No Answer,0,AGT-009,False
CALL-85146,CUST-60587,61,Morning (8-11h),Call Back Later,0,AGT-001,True
CALL-25375,CUST-13354,48,Noon (11-13h),No Answer,0,AGT-001,False
CALL-77145,CUST-51142,71,Morning (8-11h),Success,624000,AGT-008,False
CALL-38361,CUST-51142,76,Morning (8-11h),Not Interested,0,AGT-015,False
CALL-51725,CUST-51142,87,Evening (17-20h),No Answer,0,AGT-006,False
CALL-23310,CUST-51142,113,Afternoon (13-17h),Success,946000,AGT-014,False
CALL-28154,CUST-51142,135,Noon (11-13h),Success,449000,AGT-003,False
CALL-83963,CUST-51142,142,Afternoon (13-17h),Success,504000,AGT-002,True
CALL-59287,CUST-93837,207,Afternoon (13-17h),Success,489000,AGT-018,False
CALL-21853,CUST-91551,308,Morning (8-11h),Success,402000,AGT-001,True
CALL-17978,CUST-91551,143,Noon (11-13h),Not Interested,0,AGT-002,False
CALL-69874,CUST-91551,76,Afternoon (13-17h),Success,2340000,AGT-003,False
CALL-12959,CUST-91551,204,Noon (11-13h),Call Back Later,0,AGT-005,True
CALL-65160,CUST-91551,195,Morning (8-11h),Success,625000,AGT-002,False
CALL-82175,CUST-44776,69,Afternoon (13-17h),Success,776000,AGT-002,False
CALL-83234,CUST-44776,197,Afternoon (13-17h),Not Interested,0,AGT-002,False
CALL-92452,CUST-13634,48,Afternoon (13-17h),No Answer,0,AGT-004,False
CALL-98003,CUST-13634,38,Afternoon (13-17h),No Answer,0,AGT-018,False
CALL-79428,CUST-13634,51,Afternoon (13-17h),No Answer,0,AGT-019,False
CALL-92027,CUST-13634,208,Morning (8-11h),Success,1442000,AGT-005,False
CALL-49544,CUST-13634,95,Morning (8-11h),Success,2500000,AGT-001,False
CALL-95721,CUST-13634,227,Afternoon (13-17h),Success,1447000,AGT-011,False
CALL-58069,CUST-13634,328,Morning (8-11h),Not Interested,0,AGT-002,False
CALL-67405,CUST-13634,316,Morning (8-11h),Success,904000,AGT-001,False
CALL-88517,CUST-57142,67,Morning (8-11h),Success,1193000,AGT-014,True
CALL-69545,CUST-66984,98,Noon (11-13h),Call Back Later,0,AGT-001,True
CALL-56427,CUST-66984,116,Afternoon (13-17h),Success,2044000,AGT-001,False
CALL-56964,CUST-20308,362,Morning (8-11h),Not Interested,0,AGT-003,False
CALL-16089,CUST-20308,66,Noon (11-13h),Not Interested,0,AGT-002,False
CALL-58621,CUST-20308,254,Evening (17-20h),No Answer,0,AGT-009,False
CALL-93256,CUST-91110,167,Morning (8-11h),Success,747000,AGT-020,False
CALL-38584,CUST-91110,7,Noon (11-13h),Not Interested,0,AGT-004,False
CALL-36519,CUST-70461,92,Noon (11-13h),No Answer,0,AGT-016,False
CALL-82730,CUST-55638,45,Afternoon (13-17h),Not Interested,0,AGT-008,False
CALL-12824,CUST-55638,89,Afternoon (13-17h),Call Back Later,0,AGT-001,True
CALL-27093,CUST-34826,7,Evening (17-20h),No Answer,0,AGT-015,False
CALL-72993,CUST-34826,378,Noon (11-13h),Success,350000,AGT-012,False
CALL-52639,CUST-34826,82,Noon (11-13h),No Answer,0,AGT-002,False
CALL-78200,CUST-34826,90,Afternoon (13-17h),Success,861000,AGT-005,False
CALL-91256,CUST-34826,352,Evening (17-20h),Success,370000,AGT-001,False
CALL-95495,CUST-34826,31,Morning (8-11h),Not Interested,0,AGT-001,False
CALL-16271,CUST-34826,172,Evening (17-20h),Success,1780000,AGT-002,False
CALL-73839,CUST-34826,60,Afternoon (13-17h),Not Interested,0,AGT-010,False
CALL-60839,CUST-34826,16,Afternoon (13-17h),No Answer,0,AGT-001,False
CALL-25720,CUST-34826,189,Afternoon (13-17h),Success,1021000,AGT-004,False
CALL-98700,CUST-34826,293,Evening (17-20h),No Answer,0,AGT-006,False
CALL-92655,CUST-34826,110,Morning (8-11h),Success,566000,AGT-005,False
CALL-40437,CUST-30637,212,Evening (17-20h),Call Back Later,0,AGT-010,True
CALL-55778,CUST-30637,66,Morning (8-11h),Call Back Later,0,AGT-001,True
CALL-33433,CUST-30637,177,Evening (17-20h),Not Interested,0,AGT-019,False
CALL-86275,CUST-30637,119,Morning (8-11h),Call Back Later,0,AGT-005,True
CALL-63265,CUST-30637,73,Afternoon (13-17h),No Answer,0,AGT-011,False
CALL-22979,CUST-30637,43,Morning (8-11h),Success,1439000,AGT-016,False
CALL-59502,CUST-30637,289,Afternoon (13-17h),Success,1159000,AGT-002,False
CALL-69892,CUST-30637,123,Morning (8-11h),Call Back Later,0,AGT-020,True
CALL-14840,CUST-30637,84,Morning (8-11h),Success,753000,AGT-008,False
CALL-84560,CUST-30637,94,Afternoon (13-17h),Success,857000,AGT-002,False
CALL-40130,CUST-30637,181,Evening (17-20h),Success,1209000,AGT-005,True
CALL-55130,CUST-48756,206,Afternoon (13-17h),Success,407000,AGT-002,True
CALL-91747,CUST-48756,120,Afternoon (13-17h),Call Back Later,0,AGT-011,True
CALL-52609,CUST-48756,169,Morning (8-11h),Call Back Later,0,AGT-012,True
CALL-65760,CUST-48756,89,Afternoon (13-17h),Success,1207000,AGT-003,True
CALL-87832,CUST-48756,99,Afternoon (13-17h),Call Back Later,0,AGT-008,True
CALL-27712,CUST-48756,191,Evening (17-20h),Success,1044000,AGT-001,False
CALL-90878,CUST-62735,86,Afternoon (13-17h),Success,1174000,AGT-002,False
CALL-12686,CUST-62735,39,Evening (17-20h),No Answer,0,AGT-007,False
CALL-24855,CUST-62735,184,Evening (17-20h),Success,1065000,AGT-002,False
CALL-68923,CUST-62735,160,Noon (11-13h),Not Interested,0,AGT-008,False
CALL-37603,CUST-62735,233,Afternoon (13-17h),Not Interested,0,AGT-001,False
CALL-69195,CUST-62735,182,Evening (17-20h),Success,2500000,AGT-008,False
CALL-15612,CUST-31891,156,Noon (11-13h),Success,1068000,AGT-002,False
CALL-42448,CUST-31891,34,Afternoon (13-17h),Not Interested,0,AGT-004,False
CALL-30926,CUST-61895,117,Morning (8-11h),Not Interested,0,AGT-006,False
CALL-20456,CUST-61895,76,Noon (11-13h),No Answer,0,AGT-001,False
CALL-53723,CUST-61895,181,Afternoon (13-17h),Success,1133000,AGT-006,False
CALL-42259,CUST-61895,377,Noon (11-13h),Call Back Later,0,AGT-013,True
CALL-73647,CUST-61895,203,Evening (17-20h),Success,844000,AGT-018,False
CALL-93508,CUST-38688,31,Afternoon (13-17h),Success,428000,AGT-008,False
CALL-55572,CUST-38688,149,Afternoon (13-17h),Success,862000,AGT-010,True
CALL-31891,CUST-38688,77,Evening (17-20h),Not Interested,0,AGT-017,False
CALL-89106,CUST-38688,195,Afternoon (13-17h),Success,2219000,AGT-017,False
CALL-24701,CUST-74950,220,Morning (8-11h),Success,1055000,AGT-007,True
CALL-87425,CUST-72382,114,Afternoon (13-17h),No Answer,0,AGT-001,False
CALL-17976,CUST-72382,87,Afternoon (13-17h),No Answer,0,AGT-006,False
CALL-34949,CUST-72382,156,Morning (8-11h),Not Interested,0,AGT-003,False
CALL-54831,CUST-72382,69,Evening (17-20h),Call Back Later,0,AGT-018,True
CALL-71828,CUST-72382,224,Noon (11-13h),Success,985000,AGT-010,False
CALL-63503,CUST-56738,183,Morning (8-11h),No Answer,0,AGT-007,False
CALL-65532,CUST-56738,84,Evening (17-20h),No Answer,0,AGT-002,False
CALL-10270,CUST-85858,45,Morning (8-11h),Not Interested,0,AGT-002,False
CALL-13210,CUST-85858,144,Afternoon (13-17h),Success,1934000,AGT-002,False
CALL-59942,CUST-85858,255,Afternoon (13-17h),Not Interested,0,AGT-005,False
CALL-39338,CUST-85858,213,Afternoon (13-17h),Success,931000,AGT-004,False
CALL-87923,CUST-85858,39,Morning (8-11h),No Answer,0,AGT-005,False
CALL-46105,CUST-85858,169,Afternoon (13-17h),Success,521000,AGT-001,False
CALL-96795,CUST-85858,183,Afternoon (13-17h),Success,1214000,AGT-004,False
CALL-37040,CUST-78632,100,Noon (11-13h),Not Interested,0,AGT-014,False
CALL-31796,CUST-31844,123,Afternoon (13-17h),Success,872000,AGT-001,False
CALL-42467,CUST-31844,205,Morning (8-11h),No Answer,0,AGT-001,False
CALL-45193,CUST-31844,134,Evening (17-20h),Success,906000,AGT-007,False
CALL-52992,CUST-31844,12,Evening (17-20h),Not Interested,0,AGT-002,False
CALL-38779,CUST-31844,58,Afternoon (13-17h),Not Interested,0,AGT-005,False
CALL-48676,CUST-31844,83,Noon (11-13h),Call Back Later,0,AGT-001,True
CALL-70986,CUST-31844,59,Noon (11-13h),No Answer,0,AGT-019,False
CALL-30149,CUST-92223,223,Afternoon (13-17h),Success,1538000,AGT-008,False
CALL-71524,CUST-92223,164,Morning (8-11h),Success,350000,AGT-003,False
CALL-97384,CUST-92223,33,Noon (11-13h),Call Back Later,0,AGT-015,True
CALL-39660,CUST-92223,162,Noon (11-13h),Success,1334000,AGT-010,False
CALL-75362,CUST-92223,236,Afternoon (13-17h),Success,952000,AGT-001,False
CALL-92753,CUST-92223,101,Morning (8-11h),Success,1271000,AGT-018,False
CALL-58605,CUST-92223,154,Morning (8-11h),Call Back Later,0,AGT-001,True
CALL-56669,CUST-96376,129,Evening (17-20h),Success,659000,AGT-019,False
CALL-84900,CUST-96899,43,Evening (17-20h),Not Interested,0,AGT-001,False
CALL-19708,CUST-96899,162,Afternoon (13-17h),Call Back Later,0,AGT-001,True
CALL-97776,CUST-96899,75,Afternoon (13-17h),Success,486000,AGT-006,False
CALL-58904,CUST-96899,322,Morning (8-11h),Success,500000,AGT-004,False
CALL-96634,CUST-99489,40,Evening (17-20h),Not Interested,0,AGT-003,False
CALL-27351,CUST-99489,118,Evening (17-20h),Success,527000,AGT-016,False
CALL-51172,CUST-72963,246,Morning (8-11h),Success,543000,AGT-001,False
CALL-72102,CUST-72963,84,Afternoon (13-17h),Call Back Later,0,AGT-002,True
CALL-71136,CUST-72963,160,Morning (8-11h),Call Back Later,0,AGT-002,True
CALL-45073,CUST-72963,600,Afternoon (13-17h),Success,350000,AGT-001,False
CALL-61746,CUST-72963,233,Noon (11-13h),Success,537000,AGT-001,False
CALL-84929,CUST-72963,166,Evening (17-20h),No Answer,0,AGT-002,False
CALL-21568,CUST-65357,212,Afternoon (13-17h),Success,387000,AGT-001,False
CALL-40926,CUST-65357,173,Afternoon (13-17h),Success,1655000,AGT-001,False
CALL-53308,CUST-65357,55,Afternoon (13-17h),No Answer,0,AGT-006,False
CALL-79182,CUST-65357,156,Afternoon (13-17h),Success,1129000,AGT-001,False
CALL-31300,CUST-65357,484,Afternoon (13-17h),Success,582000,AGT-018,False
CALL-77758,CUST-65357,284,Morning (8-11h),Not Interested,0,AGT-002,False
CALL-80268,CUST-45337,95,Afternoon (13-17h),Call Back Later,0,AGT-006,True
CALL-21193,CUST-45337,104,Morning (8-11h),Success,542000,AGT-012,False
CALL-57043,CUST-45337,507,Afternoon (13-17h),Success,812000,AGT-010,False
CALL-74195,CUST-45337,118,Evening (17-20h),Success,2050000,AGT-001,False
CALL-65342,CUST-48474,85,Afternoon (13-17h),Not Interested,0,AGT-003,False
CALL-97922,CUST-65985,57,Evening (17-20h),Call Back Later,0,AGT-011,True
CALL-45132,CUST-65985,138,Morning (8-11h),Success,990000,AGT-017,False
CALL-17569,CUST-65985,81,Morning (8-11h),Not Interested,0,AGT-009,False
CALL-24558,CUST-65985,133,Afternoon (13-17h),Success,2030000,AGT-003,False
CALL-92623,CUST-85851,163,Morning (8-11h),Success,1378000,AGT-006,False
CALL-96232,CUST-85851,309,Afternoon (13-17h),Success,880000,AGT-011,False
CALL-14703,CUST-85851,103,Afternoon (13-17h),Call Back Later,0,AGT-004,True
CALL-47450,CUST-83127,12,Morning (8-11h),No Answer,0,AGT-015,False
CALL-38673,CUST-83127,98,Noon (11-13h),No Answer,0,AGT-002,False
CALL-87856,CUST-83127,99,Afternoon (13-17h),No Answer,0,AGT-018,False
CALL-28067,CUST-83127,93,Noon (11-13h),Success,1464000,AGT-009,False
CALL-65496,CUST-83127,114,Afternoon (13-17h),Not Interested,0,AGT-015,False
CALL-27630,CUST-83127,18,Evening (17-20h),Not Interested,0,AGT-019,False
CALL-92334,CUST-13773,42,Afternoon (13-17h),Not Interested,0,AGT-001,False
CALL-52936,CUST-13773,89,Afternoon (13-17h),Not Interested,0,AGT-012,False
CALL-20121,CUST-13773,233,Noon (11-13h),Success,1428000,AGT-003,False
CALL-19108,CUST-13773,120,Morning (8-11h),Success,389000,AGT-001,False
CALL-16150,CUST-13773,183,Afternoon (13-17h),Success,1074000,AGT-004,False
CALL-83662,CUST-13773,36,Noon (11-13h),Success,803000,AGT-008,False
CALL-79864,CUST-13773,64,Afternoon (13-17h),Not Interested,0,AGT-001,False
CALL-92702,CUST-99682,5,Noon (11-13h),Not Interested,0,AGT-018,False
CALL-52177,CUST-99682,15,Morning (8-11h),Not Interested,0,AGT-015,False
CALL-53275,CUST-99682,34,Afternoon (13-17h),Not Interested,0,AGT-019,False
CALL-80896,CUST-99682,50,Morning (8-11h),No Answer,0,AGT-002,False
CALL-34957,CUST-99682,61,Afternoon (13-17h),Not Interested,0,AGT-004,False
CALL-80767,CUST-27658,362,Morning (8-11h),Success,545000,AGT-014,False
CALL-42403,CUST-27658,35,Morning (8-11h),Not Interested,0,AGT-006,False
CALL-33754,CUST-27658,107,Afternoon (13-17h),No Answer,0,AGT-013,False
CALL-88192,CUST-27658,66,Afternoon (13-17h),Success,1652000,AGT-001,False
CALL-82096,CUST-27658,80,Afternoon (13-17h),Success,1650000,AGT-005,False
CALL-59368,CUST-27658,27,Morning (8-11h),Call Back Later,0,AGT-016,True
CALL-28163,CUST-27658,68,Afternoon (13-17h),Not Interested,0,AGT-011,False
CALL-52060,CUST-27658,193,Afternoon (13-17h),Call Back Later,0,AGT-001,True
CALL-36645,CUST-27658,107,Morning (8-11h),Success,1014000,AGT-012,False
CALL-78545,CUST-27658,158,Morning (8-11h),Call Back Later,0,AGT-002,True
CALL-25603,CUST-27658,39,Afternoon (13-17h),Not Interested,0,AGT-007,False
CALL-76270,CUST-27658,211,Afternoon (13-17h),Call Back Later,0,AGT-003,True
CALL-62236,CUST-27658,113,Evening (17-20h),Call Back Later,0,AGT-015,True
CALL-74740,CUST-27658,82,Afternoon (13-17h),No Answer,0,AGT-014,False
CALL-58910,CUST-27658,92,Morning (8-11h),No Answer,0,AGT-017,False
CALL-96979,CUST-27658,125,Afternoon (13-17h),Success,711000,AGT-005,False
CALL-36310,CUST-27658,121,Morning (8-11h),No Answer,0,AGT-006,False
CALL-68395,CUST-66433,309,Afternoon (13-17h),Success,934000,AGT-001,False
CALL-10329,CUST-66433,129,Afternoon (13-17h),Call Back Later,0,AGT-007,True
CALL-33353,CUST-66433,125,Morning (8-11h),Success,1075000,AGT-019,False
CALL-63647,CUST-66433,103,Morning (8-11h),Success,818000,AGT-014,False
CALL-77574,CUST-66433,147,Morning (8-11h),Call Back Later,0,AGT-003,True
CALL-49125,CUST-49549,227,Morning (8-11h),Success,1052000,AGT-002,False
CALL-38942,CUST-49549,15,Morning (8-11h),No Answer,0,AGT-003,False
CALL-64691,CUST-49549,12,Morning (8-11h),No Answer,0,AGT-013,False
CALL-28302,CUST-49549,99,Afternoon (13-17h),Success,925000,AGT-005,False
CALL-57215,CUST-64995,58,Evening (17-20h),Not Interested,0,AGT-002,False
CALL-20369,CUST-91254,120,Morning (8-11h),Success,781000,AGT-006,False
CALL-27807,CUST-91254,122,Noon (11-13h),Success,679000,AGT-002,False
CALL-27396,CUST-91254,98,Morning (8-11h),No Answer,0,AGT-007,False
CALL-32888,CUST-91254,273,Afternoon (13-17h),Success,698000,AGT-003,False
CALL-45589,CUST-91254,52,Evening (17-20h),Call Back Later,0,AGT-010,True
CALL-62180,CUST-91254,63,Noon (11-13h),Not Interested,0,AGT-005,False
CALL-45938,CUST-91254,330,Evening (17-20h),Success,1218000,AGT-005,False
CALL-37218,CUST-22022,33,Evening (17-20h),Success,1487000,AGT-001,False
CALL-71578,CUST-22022,93,Noon (11-13h),Not Interested,0,AGT-018,False
CALL-23784,CUST-22022,84,Morning (8-11h),Success,413000,AGT-001,False
CALL-96619,CUST-22022,167,Evening (17-20h),Success,1380000,AGT-001,False
CALL-15326,CUST-22022,108,Afternoon (13-17h),Not Interested,0,AGT-001,False
CALL-26785,CUST-22022,28,Afternoon (13-17h),No Answer,0,AGT-001,False
CALL-78345,CUST-22022,73,Noon (11-13h),Success,746000,AGT-004,False
CALL-81669,CUST-27933,66,Morning (8-11h),Success,1014000,AGT-001,False
CALL-72843,CUST-27933,192,Noon (11-13h),Not Interested,0,AGT-002,False
CALL-12430,CUST-27933,329,Afternoon (13-17h),Call Back Later,0,AGT-011,True
CALL-34018,CUST-27933,273,Afternoon (13-17h),Success,547000,AGT-008,False
CALL-96220,CUST-19696,105,Morning (8-11h),Call Back Later,0,AGT-001,True
CALL-96368,CUST-19696,236,Afternoon (13-17h),Success,580000,AGT-012,False
CALL-94848,CUST-27425,240,Afternoon (13-17h),Success,1522000,AGT-003,False
CALL-13629,CUST-27425,380,Evening (17-20h),Success,1207000,AGT-013,False
CALL-89238,CUST-35222,81,Afternoon (13-17h),Call Back Later,0,AGT-003,True
CALL-37731,CUST-35222,185,Evening (17-20h),Success,1333000,AGT-017,False
CALL-62482,CUST-58373,60,Morning (8-11h),Not Interested,0,AGT-014,False
CALL-47150,CUST-58373,30,Evening (17-20h),Not Interested,0,AGT-002,False
CALL-56093,CUST-58373,38,Afternoon (13-17h),No Answer,0,AGT-007,False
CALL-18552,CUST-58373,151,Afternoon (13-17h),Success,2255000,AGT-004,False
CALL-41342,CUST-55213,65,Noon (11-13h),Call Back Later,0,AGT-004,True
CALL-23109,CUST-55213,39,Morning (8-11h),Not Interested,0,AGT-004,False
CALL-62163,CUST-55213,336,Morning (8-11h),Success,1389000,AGT-007,False
CALL-56998,CUST-55213,149,Noon (11-13h),Success,2203000,AGT-003,False
CALL-26176,CUST-55213,298,Noon (11-13h),Success,579000,AGT-008,False
CALL-16658,CUST-55213,82,Afternoon (13-17h),Success,670000,AGT-002,False
CALL-51506,CUST-55213,215,Morning (8-11h),Success,2205000,AGT-016,False
CALL-91054,CUST-55213,47,Morning (8-11h),Success,444000,AGT-016,False
CALL-50186,CUST-55213,65,Morning (8-11h),Success,499000,AGT-009,False
CALL-17907,CUST-55213,80,Evening (17-20h),No Answer,0,AGT-006,False
CALL-75719,CUST-37232,66,Morning (8-11h),Success,984000,AGT-007,False
CALL-42550,CUST-37232,36,Afternoon (13-17h),Not Interested,0,AGT-003,False
CALL-20686,CUST-37232,71,Noon (11-13h),Success,644000,AGT-003,False
CALL-28473,CUST-37232,23,Afternoon (13-17h),Not Interested,0,AGT-005,False
CALL-79776,CUST-37232,119,Morning (8-11h),No Answer,0,AGT-002,False
CALL-19621,CUST-37232,256,Evening (17-20h),Success,1989000,AGT-002,False
CALL-66074,CUST-37232,59,Noon (11-13h),No Answer,0,AGT-005,False
CALL-45725,CUST-37232,98,Morning (8-11h),Call Back Later,0,AGT-008,True
CALL-64188,CUST-37232,239,Noon (11-13h),Success,478000,AGT-004,False
CALL-12251,CUST-37232,341,Evening (17-20h),Success,1334000,AGT-001,False
CALL-17253,CUST-37232,226,Noon (11-13h),Success,1370000,AGT-003,False
CALL-81410,CUST-15766,122,Afternoon (13-17h),No Answer,0,AGT-009,False
CALL-67416,CUST-15766,171,Evening (17-20h),Not Interested,0,AGT-011,False
CALL-43153,CUST-15766,183,Evening (17-20h),Success,1027000,AGT-011,False
CALL-70232,CUST-34690,173,Evening (17-20h),Success,1157000,AGT-008,True
CALL-27155,CUST-34690,65,Morning (8-11h),Success,1513000,AGT-002,False
CALL-67919,CUST-34690,206,Afternoon (13-17h),Success,989000,AGT-003,False
CALL-12962,CUST-34690,253,Afternoon (13-17h),Success,1700000,AGT-006,False
CALL-95190,CUST-58334,7,Afternoon (13-17h),Not Interested,0,AGT-018,False
CALL-70243,CUST-58334,80,Afternoon (13-17h),Success,559000,AGT-001,False
CALL-78624,CUST-96592,160,Afternoon (13-17h),Not Interested,0,AGT-007,False
CALL-27856,CUST-96592,134,Noon (11-13h),Success,588000,AGT-003,False
CALL-60127,CUST-96592,162,Afternoon (13-17h),Success,1036000,AGT-003,False
CALL-61163,CUST-96592,42,Afternoon (13-17h),No Answer,0,AGT-010,False
CALL-32384,CUST-93944,6,Evening (17-20h),No Answer,0,AGT-008,False
CALL-61803,CUST-93944,126,Afternoon (13-17h),Not Interested,0,AGT-005,True
CALL-79516,CUST-93944,105,Evening (17-20h),Success,1025000,AGT-001,False
CALL-78564,CUST-93944,249,Evening (17-20h),Call Back Later,0,AGT-001,True
CALL-72341,CUST-93944,161,Morning (8-11h),Not Interested,0,AGT-005,False
CALL-42876,CUST-93944,7,Morning (8-11h),No Answer,0,AGT-013,False
CALL-61159,CUST-63445,164,Evening (17-20h),Success,350000,AGT-005,False
CALL-47607,CUST-63445,304,Afternoon (13-17h),Call Back Later,0,AGT-006,True
CALL-71482,CUST-63445,243,Morning (8-11h),Not Interested,0,AGT-020,True
CALL-61025,CUST-52086,162,Noon (11-13h),Success,1049000,AGT-002,False
CALL-41425,CUST-52086,72,Noon (11-13h),Success,898000,AGT-005,True
CALL-39347,CUST-27111,95,Morning (8-11h),No Answer,0,AGT-011,False
CALL-85761,CUST-27111,93,Evening (17-20h),Success,350000,AGT-018,False
CALL-29808,CUST-27111,184,Noon (11-13h),Call Back Later,0,AGT-013,True
