customer_id,age,gender,location,customer_tier,preferred_style,lifetime_purchases
CUST-24113,50,Female,Đà Lạt,Gold,Sporty,20
CUST-68583,40,Female,Đà Nẵng,Silver,Elegant,6
CUST-25167,56,Female,Hà Nội,Silver,Casual,10
CUST-66873,56,Female,Hà Nội,New,Elegant,2
CUST-26160,54,Female,TP. Hồ Chí Minh,Gold,Elegant,17
CUST-97727,59,Female,Biên Hòa,Gold,Elegant,11
CUST-63676,42,Female,Đà Nẵng,Silver,Formal,6
CUST-25917,68,Female,TP. Hồ Chí Minh,New,Elegant,2
CUST-46834,44,Female,Hà Nội,Silver,Elegant,4
CUST-57062,57,Female,Đà Lạt,Silver,Casual,3
CUST-20767,40,Female,TP. Hồ Chí Minh,Silver,Classic,4
CUST-77117,44,Female,Cần Thơ,Gold,Elegant,11
CUST-38351,64,Female,Hải Phòng,Silver,Elegant,4
CUST-42943,49,Male,TP. Hồ Chí Minh,New,Casual,0
CUST-83965,58,Male,Hà Nội,New,Casual,2
CUST-92352,53,Female,TP. Hồ Chí Minh,Silver,Casual,5
CUST-64071,51,Female,TP. Hồ Chí Minh,New,Elegant,2
CUST-48128,62,Female,Cần Thơ,New,Classic,1
CUST-45457,50,Female,Nha Trang,Silver,Casual,3
CUST-29675,40,Female,TP. Hồ Chí Minh,New,Elegant,1
CUST-51099,45,Female,Đà Nẵng,Silver,Elegant,5
CUST-17888,56,Female,Hà Nội,New,Classic,0
CUST-19769,55,Female,Hà Nội,New,Classic,1
CUST-40298,40,Male,Cần Thơ,New,Elegant,0
CUST-21112,46,Male,Nha Trang,Silver,Sporty,6
CUST-92636,47,Female,Nha Trang,Silver,Classic,1
CUST-64421,49,Female,Hà Nội,New,Casual,2
CUST-85261,40,Female,Đà Nẵng,New,Elegant,2
CUST-66776,46,Female,TP. Hồ Chí Minh,New,Casual,2
CUST-63806,46,Male,Vũng Tàu,Silver,Classic,5
CUST-85166,58,Female,Hải Phòng,Gold,Formal,10
CUST-79729,58,Female,Biên Hòa,Silver,Classic,7
CUST-54198,50,Female,Hà Nội,New,Casual,1
CUST-27582,48,Female,TP. Hồ Chí Minh,Silver,Classic,7
CUST-79365,53,Female,Nha Trang,New,Classic,2
CUST-64524,45,Female,TP. Hồ Chí Minh,New,Formal,5
CUST-67495,42,Male,Hải Phòng,New,Casual,0
CUST-56793,44,Female,TP. Hồ Chí Minh,New,Casual,5
CUST-32718,46,Female,Vũng Tàu,New,Formal,0
CUST-89479,42,Female,Hà Nội,Silver,Formal,7
CUST-41737,53,Female,Biên Hòa,New,Elegant,2
CUST-59526,57,Female,TP. Hồ Chí Minh,Silver,Elegant,2
CUST-22943,40,Female,TP. Hồ Chí Minh,Gold,Classic,9
CUST-26997,52,Female,Đà Nẵng,Silver,Sporty,6
CUST-99075,50,Female,TP. Hồ Chí Minh,New,Classic,2
CUST-15516,54,Female,Biên Hòa,Silver,Classic,7
CUST-91269,51,Female,Đà Lạt,New,Classic,0
CUST-23380,40,Male,Vũng Tàu,New,Elegant,2
CUST-40955,41,Male,Vũng Tàu,New,Elegant,2
CUST-14278,52,Female,Hải Phòng,Silver,Elegant,5
CUST-59046,60,Female,TP. Hồ Chí Minh,Silver,Elegant,3
CUST-30591,40,Female,Huế,Silver,Casual,5
CUST-97961,54,Male,Hà Nội,Silver,Classic,3
CUST-95133,61,Female,Huế,Silver,Elegant,2
CUST-85893,50,Female,TP. Hồ Chí Minh,Silver,Classic,2
CUST-91561,56,Female,Hải Phòng,Gold,Classic,15
CUST-67873,46,Male,TP. Hồ Chí Minh,New,Classic,1
CUST-54934,51,Female,TP. Hồ Chí Minh,Gold,Classic,15
CUST-43416,40,Female,Hà Nội,Gold,Elegant,12
CUST-29054,40,Female,TP. Hồ Chí Minh,Silver,Casual,5
CUST-81292,59,Female,TP. Hồ Chí Minh,New,Elegant,0
CUST-95013,44,Male,TP. Hồ Chí Minh,New,Elegant,0
CUST-34627,48,Female,TP. Hồ Chí Minh,Silver,Elegant,5
CUST-27933,40,Female,Đà Nẵng,New,Classic,1
CUST-84963,40,Female,TP. Hồ Chí Minh,New,Elegant,1
CUST-23725,50,Female,Huế,Silver,Classic,7
CUST-99773,46,Female,Hà Nội,Gold,Elegant,18
CUST-13065,55,Female,Đà Nẵng,Silver,Elegant,4
CUST-17559,55,Male,Hà Nội,Silver,Formal,3
CUST-63346,54,Female,Đà Nẵng,New,Classic,1
CUST-82773,53,Female,Đà Nẵng,New,Elegant,1
CUST-91097,64,Female,Hải Phòng,Silver,Classic,8
CUST-26872,43,Female,TP. Hồ Chí Minh,New,Elegant,1
CUST-48870,51,Female,TP. Hồ Chí Minh,Silver,Casual,5
CUST-73132,61,Female,Hà Nội,Gold,Elegant,12
CUST-77959,62,Female,TP. Hồ Chí Minh,Silver,Classic,7
CUST-59515,40,Female,TP. Hồ Chí Minh,Silver,Sporty,1
CUST-16748,49,Female,Hải Phòng,Silver,Elegant,4
CUST-73079,62,Female,TP. Hồ Chí Minh,Silver,Elegant,4
CUST-17821,56,Female,Nha Trang,New,Casual,3
CUST-19941,53,Female,TP. Hồ Chí Minh,New,Sporty,2
CUST-44119,50,Male,TP. Hồ Chí Minh,New,Classic,2
CUST-26983,48,Female,TP. Hồ Chí Minh,Silver,Casual,3
CUST-41513,54,Female,Hà Nội,New,Elegant,1
CUST-34395,49,Female,Đà Nẵng,Silver,Casual,5
CUST-43670,51,Female,Huế,Silver,Elegant,3
CUST-85173,52,Female,Cần Thơ,New,Casual,3
CUST-49777,46,Female,TP. Hồ Chí Minh,Silver,Elegant,3
CUST-49799,56,Female,Hà Nội,New,Classic,3
CUST-52090,75,Female,Huế,New,Elegant,5
CUST-76607,40,Female,Hà Nội,New,Casual,1
CUST-71432,54,Female,TP. Hồ Chí Minh,New,Casual,2
CUST-48170,45,Female,Huế,Gold,Formal,11
CUST-94702,56,Female,TP. Hồ Chí Minh,Gold,Sporty,9
CUST-28786,52,Female,Hà Nội,Silver,Classic,5
CUST-88351,58,Female,TP. Hồ Chí Minh,Silver,Casual,4
CUST-98578,61,Female,Đà Nẵng,Silver,Elegant,4
CUST-57373,53,Female,Hà Nội,Gold,Formal,25
CUST-43825,61,Female,Hải Phòng,Silver,Casual,4
CUST-57564,40,Male,TP. Hồ Chí Minh,New,Classic,0
CUST-36167,64,Female,TP. Hồ Chí Minh,Silver,Classic,6
CUST-79367,55,Female,TP. Hồ Chí Minh,Gold,Casual,16
CUST-90448,60,Male,Nha Trang,New,Formal,0
CUST-21064,42,Female,TP. Hồ Chí Minh,New,Formal,2
CUST-64600,45,Female,Cần Thơ,New,Classic,4
CUST-92236,53,Female,TP. Hồ Chí Minh,New,Classic,1
CUST-41553,51,Female,Hà Nội,Silver,Sporty,4
CUST-83413,54,Female,TP. Hồ Chí Minh,New,Casual,2
CUST-63970,60,Female,TP. Hồ Chí Minh,Gold,Classic,11
CUST-95074,40,Female,TP. Hồ Chí Minh,Silver,Casual,7
CUST-98071,59,Female,Nha Trang,New,Casual,2
CUST-82359,52,Female,Đà Lạt,Silver,Casual,3
CUST-57145,50,Female,Nha Trang,Silver,Classic,5
CUST-71709,40,Female,Đà Nẵng,Silver,Formal,2
CUST-21115,56,Female,Đà Nẵng,New,Formal,4
CUST-85613,40,Female,Hải Phòng,Silver,Classic,7
CUST-68755,57,Male,TP. Hồ Chí Minh,New,Elegant,0
CUST-18220,40,Female,Nha Trang,New,Classic,3
CUST-99456,52,Female,Huế,New,Casual,1
CUST-94079,51,Female,TP. Hồ Chí Minh,New,Classic,1
CUST-27257,61,Female,Đà Lạt,Silver,Formal,6
CUST-34939,50,Female,Huế,New,Elegant,1
CUST-54774,46,Male,TP. Hồ Chí Minh,Silver,Elegant,3
CUST-26510,47,Female,Đà Lạt,New,Formal,1
CUST-78992,62,Female,Hà Nội,Silver,Formal,7
CUST-37086,56,Male,Hà Nội,New,Classic,0
CUST-35179,48,Female,TP. Hồ Chí Minh,Gold,Elegant,22
CUST-94469,50,Male,Đà Nẵng,Gold,Classic,13
CUST-25010,40,Female,TP. Hồ Chí Minh,New,Classic,0
CUST-15503,55,Female,Biên Hòa,Silver,Classic,6
CUST-96253,40,Male,TP. Hồ Chí Minh,New,Elegant,4
CUST-48804,58,Female,TP. Hồ Chí Minh,Silver,Classic,6
CUST-79134,53,Female,Hải Phòng,Silver,Casual,4
CUST-44638,71,Female,Hà Nội,New,Casual,1
CUST-71728,43,Female,Cần Thơ,New,Casual,2
CUST-59482,51,Female,TP. Hồ Chí Minh,New,Classic,0
CUST-85974,66,Female,Vũng Tàu,Silver,Classic,4
CUST-89856,61,Female,Hải Phòng,Silver,Classic,7
CUST-16036,46,Female,Hà Nội,New,Sporty,1
CUST-56646,53,Female,Hà Nội,New,Classic,1
CUST-72978,52,Female,Hà Nội,New,Casual,1
CUST-23583,54,Female,Biên Hòa,Silver,Classic,0
CUST-91710,46,Female,Hải Phòng,New,Formal,1
CUST-82794,51,Female,TP. Hồ Chí Minh,New,Classic,1
CUST-10413,40,Female,Hà Nội,Gold,Classic,15
CUST-15217,53,Female,Huế,New,Formal,3
CUST-34652,55,Female,Hà Nội,Silver,Elegant,3
CUST-20248,50,Female,Cần Thơ,New,Casual,1
CUST-89505,40,Female,Cần Thơ,New,Classic,1
CUST-83041,59,Male,TP. Hồ Chí Minh,Silver,Sporty,9
CUST-76439,54,Male,TP. Hồ Chí Minh,New,Casual,4
CUST-97304,46,Female,TP. Hồ Chí Minh,New,Elegant,0
CUST-37121,49,Male,TP. Hồ Chí Minh,Gold,Formal,17
CUST-13934,40,Male,Biên Hòa,Gold,Casual,14
CUST-43903,43,Female,Hải Phòng,Silver,Classic,4
CUST-88760,47,Female,Huế,New,Elegant,2
CUST-55537,61,Female,Đà Nẵng,New,Elegant,3
CUST-36321,46,Female,TP. Hồ Chí Minh,New,Casual,1
CUST-57547,57,Female,Cần Thơ,Gold,Classic,11
CUST-71563,47,Female,TP. Hồ Chí Minh,Silver,Formal,4
CUST-27745,53,Female,Hà Nội,Silver,Elegant,4
CUST-13523,50,Male,TP. Hồ Chí Minh,Gold,Casual,15
CUST-67633,58,Female,Hải Phòng,New,Elegant,1
CUST-93628,47,Female,Cần Thơ,Silver,Casual,4
CUST-51742,40,Female,TP. Hồ Chí Minh,New,Elegant,1
CUST-96668,40,Female,Huế,New,Classic,0
CUST-42218,47,Female,TP. Hồ Chí Minh,Gold,Elegant,10
CUST-56635,42,Female,TP. Hồ Chí Minh,Gold,Casual,11
CUST-27836,55,Female,Hà Nội,New,Classic,1
CUST-13131,48,Female,Nha Trang,New,Casual,0
CUST-41792,70,Female,TP. Hồ Chí Minh,Silver,Elegant,4
CUST-47606,40,Female,TP. Hồ Chí Minh,New,Classic,2
CUST-21667,53,Female,TP. Hồ Chí Minh,Silver,Casual,4
CUST-47428,42,Female,Hải Phòng,Silver,Elegant,5
CUST-41390,48,Female,Nha Trang,New,Elegant,1
CUST-65331,53,Female,TP. Hồ Chí Minh,New,Classic,1
CUST-87137,40,Female,Biên Hòa,New,Casual,1
CUST-86025,53,Female,Hà Nội,Gold,Sporty,15
CUST-96437,67,Female,Hà Nội,New,Elegant,0
CUST-66855,48,Female,Đà Nẵng,Silver,Casual,6
CUST-60823,54,Female,Cần Thơ,New,Casual,3
CUST-17043,60,Male,TP. Hồ Chí Minh,Silver,Casual,4
CUST-31390,50,Female,Đà Nẵng,New,Classic,2
CUST-95017,47,Female,TP. Hồ Chí Minh,New,Sporty,1
CUST-46200,40,Female,Đà Nẵng,Silver,Classic,6
CUST-80584,57,Female,Hải Phòng,Silver,Formal,4
CUST-29597,51,Female,Vũng Tàu,New,Elegant,2
CUST-45337,43,Female,TP. Hồ Chí Minh,New,Formal,1
CUST-27341,53,Female,Hải Phòng,Gold,Sporty,16
CUST-92659,47,Female,Đà Nẵng,New,Formal,1
CUST-54680,47,Female,TP. Hồ Chí Minh,New,Classic,0
CUST-18447,56,Female,TP. Hồ Chí Minh,New,Formal,1
CUST-26206,41,Female,Vũng Tàu,New,Elegant,1
CUST-99830,60,Female,Hà Nội,Silver,Casual,3
CUST-52955,40,Female,Nha Trang,Silver,Classic,8
CUST-26446,46,Female,Hà Nội,Silver,Casual,6
CUST-60108,67,Female,Nha Trang,Silver,Classic,5
CUST-22184,61,Male,Hà Nội,New,Elegant,1
CUST-49036,52,Female,Biên Hòa,Silver,Elegant,4
CUST-28703,44,Female,Hải Phòng,New,Elegant,2
CUST-98469,47,Female,Hà Nội,New,Classic,1
CUST-55575,52,Female,Hải Phòng,Silver,Formal,3
CUST-93870,52,Female,Đà Nẵng,New,Casual,2
CUST-50294,51,Female,TP. Hồ Chí Minh,New,Casual,1
CUST-60722,51,Female,TP. Hồ Chí Minh,New,Formal,4
CUST-13499,50,Female,Cần Thơ,Silver,Classic,4
CUST-21901,40,Female,Cần Thơ,New,Classic,0
CUST-63997,47,Female,TP. Hồ Chí Minh,Silver,Classic,5
CUST-78991,59,Male,Huế,Silver,Elegant,5
CUST-42879,41,Female,TP. Hồ Chí Minh,Silver,Casual,4
CUST-19914,50,Female,Hà Nội,New,Casual,0
CUST-68330,45,Female,Đà Nẵng,Silver,Casual,5
CUST-64692,52,Female,Hà Nội,New,Casual,0
CUST-24260,48,Female,TP. Hồ Chí Minh,Gold,Elegant,22
CUST-60600,63,Female,TP. Hồ Chí Minh,Silver,Casual,4
CUST-70235,56,Female,TP. Hồ Chí Minh,New,Elegant,0
CUST-47847,41,Female,Hà Nội,Silver,Formal,5
CUST-50471,57,Female,Cần Thơ,Silver,Elegant,6
CUST-54207,45,Female,Đà Nẵng,New,Classic,1
CUST-55428,47,Female,Huế,New,Classic,0
CUST-92049,54,Female,Đà Nẵng,Silver,Elegant,11
CUST-12092,48,Female,TP. Hồ Chí Minh,Silver,Classic,9
CUST-15766,59,Female,TP. Hồ Chí Minh,Gold,Elegant,19
CUST-86320,45,Male,Nha Trang,New,Classic,0
CUST-73766,47,Female,Hà Nội,Silver,Formal,4
CUST-36519,46,Female,TP. Hồ Chí Minh,Silver,Classic,5
CUST-71637,47,Female,Huế,Silver,Classic,2
CUST-34826,60,Female,Cần Thơ,New,Formal,1
CUST-16014,57,Female,Đà Nẵng,New,Classic,0
CUST-83129,65,Male,Hà Nội,Silver,Formal,4
CUST-29311,70,Female,Hà Nội,New,Classic,2
CUST-79380,43,Female,TP. Hồ Chí Minh,New,Classic,1
CUST-86928,52,Female,Cần Thơ,Silver,Elegant,8
CUST-20336,42,Female,TP. Hồ Chí Minh,New,Elegant,3
CUST-21241,45,Female,Hà Nội,New,Casual,1
CUST-46458,46,Female,Hà Nội,New,Formal,2
CUST-21155,43,Female,Đà Nẵng,Silver,Elegant,3
CUST-42301,43,Female,Hải Phòng,Gold,Formal,20
CUST-91625,50,Female,Hà Nội,New,Classic,3
CUST-47103,42,Female,Hà Nội,New,Classic,1
CUST-89456,58,Female,TP. Hồ Chí Minh,Silver,Formal,2
CUST-63014,44,Female,Hà Nội,New,Formal,1
CUST-73684,74,Female,Đà Nẵng,Gold,Classic,18
CUST-95751,48,Female,Hà Nội,Silver,Elegant,8
CUST-65710,52,Female,Hải Phòng,New,Elegant,2
CUST-59278,41,Female,Nha Trang,New,Elegant,1
CUST-31343,65,Female,Vũng Tàu,New,Casual,1
CUST-52064,60,Female,Biên Hòa,Silver,Classic,5
CUST-54124,54,Female,TP. Hồ Chí Minh,New,Casual,1
CUST-80810,41,Female,Hà Nội,Gold,Elegant,9
CUST-44028,53,Female,TP. Hồ Chí Minh,Silver,Classic,4
CUST-18828,43,Female,Cần Thơ,Gold,Classic,19
CUST-20241,63,Male,Hà Nội,Gold,Classic,17
CUST-42698,58,Female,TP. Hồ Chí Minh,New,Classic,1
CUST-60612,52,Female,TP. Hồ Chí Minh,Silver,Sporty,7
CUST-99853,40,Female,Hà Nội,Silver,Formal,4
CUST-94018,44,Female,Cần Thơ,New,Casual,0
CUST-61894,57,Male,Hải Phòng,New,Elegant,1
CUST-91307,61,Female,Đà Nẵng,New,Formal,1
CUST-26383,60,Female,Đà Lạt,New,Formal,2
CUST-84359,40,Female,Hà Nội,Gold,Formal,16
CUST-84721,54,Female,Hà Nội,New,Classic,1
CUST-79153,60,Female,TP. Hồ Chí Minh,Silver,Elegant,3
CUST-94149,40,Female,Hải Phòng,Gold,Casual,14
CUST-16698,51,Female,Đà Nẵng,New,Classic,1
CUST-94311,54,Female,Hà Nội,Silver,Classic,3
CUST-31022,49,Male,Biên Hòa,New,Classic,1
CUST-56853,40,Female,TP. Hồ Chí Minh,New,Classic,3
CUST-28764,49,Female,TP. Hồ Chí Minh,New,Classic,0
CUST-53370,49,Female,Hải Phòng,New,Casual,3
CUST-99477,50,Female,Biên Hòa,New,Casual,1
CUST-77678,47,Male,Hải Phòng,New,Classic,1
CUST-47969,48,Female,Biên Hòa,New,Elegant,1
CUST-24025,51,Female,Hà Nội,New,Formal,4
CUST-68697,55,Male,Đà Nẵng,Silver,Classic,7
CUST-33612,49,Female,Nha Trang,New,Classic,2
CUST-15089,48,Female,TP. Hồ Chí Minh,Silver,Classic,6
CUST-59356,52,Female,TP. Hồ Chí Minh,Gold,Classic,14
CUST-84321,40,Female,Vũng Tàu,Silver,Casual,3
CUST-42585,55,Female,Hà Nội,Silver,Elegant,5
CUST-96332,51,Female,TP. Hồ Chí Minh,Silver,Formal,4
CUST-86758,52,Male,Huế,Silver,Elegant,5
CUST-86918,59,Female,Đà Lạt,Gold,Sporty,11
CUST-38888,40,Female,Vũng Tàu,Gold,Casual,16
CUST-91784,40,Female,Đà Lạt,New,Elegant,3
CUST-78715,54,Female,Hà Nội,Silver,Classic,9
CUST-59600,51,Male,Biên Hòa,Silver,Classic,2
CUST-10478,53,Female,TP. Hồ Chí Minh,New,Sporty,0
CUST-49499,48,Female,Hải Phòng,Silver,Casual,5
CUST-50686,57,Female,TP. Hồ Chí Minh,Silver,Classic,0
CUST-27740,59,Female,Nha Trang,Silver,Classic,6
CUST-53366,55,Male,Đà Nẵng,New,Sporty,2
CUST-30921,49,Female,Huế,New,Casual,0
CUST-84443,40,Female,Hà Nội,New,Classic,2
CUST-23194,58,Female,Hà Nội,Silver,Classic,7
CUST-74950,61,Female,TP. Hồ Chí Minh,Gold,Classic,15
CUST-39316,57,Female,Hà Nội,Gold,Casual,17
CUST-97776,44,Female,Hải Phòng,New,Casual,2
CUST-17274,57,Female,TP. Hồ Chí Minh,New,Formal,1
CUST-59158,58,Female,Đà Nẵng,Silver,Classic,8
CUST-89803,64,Female,Hà Nội,Silver,Casual,6
CUST-69446,44,Female,Hà Nội,Silver,Classic,5
CUST-91750,50,Female,Hải Phòng,New,Casual,2
CUST-13367,57,Female,TP. Hồ Chí Minh,New,Classic,0
CUST-63873,52,Female,Hà Nội,Silver,Formal,5
CUST-10403,43,Female,TP. Hồ Chí Minh,Silver,Classic,6
CUST-95528,55,Female,Hà Nội,New,Casual,4
CUST-60587,56,Female,Hải Phòng,Gold,Formal,21
CUST-90500,52,Male,Hà Nội,Silver,Casual,6
CUST-90726,53,Female,TP. Hồ Chí Minh,Gold,Classic,18
CUST-19080,49,Female,Hải Phòng,New,Casual,2
CUST-44294,63,Male,TP. Hồ Chí Minh,New,Elegant,4
CUST-84026,44,Female,Đà Nẵng,Gold,Elegant,20
CUST-92619,47,Female,TP. Hồ Chí Minh,Gold,Casual,16
CUST-67371,52,Female,Biên Hòa,Gold,Formal,16
CUST-14594,59,Female,TP. Hồ Chí Minh,Silver,Elegant,3
CUST-96713,40,Female,TP. Hồ Chí Minh,New,Sporty,2
CUST-68455,41,Female,Đà Lạt,New,Classic,4
CUST-19140,40,Female,Hải Phòng,New,Formal,2
CUST-62203,52,Female,Đà Nẵng,Gold,Casual,9
CUST-25857,43,Female,Đà Lạt,New,Formal,2
CUST-91052,48,Male,Hà Nội,Silver,Formal,5
CUST-94824,57,Female,Huế,Gold,Sporty,19
CUST-82253,46,Female,Hải Phòng,Gold,Casual,10
CUST-55983,53,Male,TP. Hồ Chí Minh,Gold,Elegant,15
CUST-32496,49,Female,TP. Hồ Chí Minh,Silver,Classic,7
CUST-56530,57,Female,Hà Nội,New,Casual,3
CUST-76029,55,Female,Biên Hòa,Gold,Elegant,15
CUST-76260,46,Female,Hà Nội,New,Formal,1
CUST-98634,50,Female,TP. Hồ Chí Minh,New,Elegant,0
CUST-78213,60,Female,Hải Phòng,Gold,Formal,14
CUST-28750,55,Female,Cần Thơ,Silver,Classic,4
CUST-85447,40,Female,Hà Nội,Silver,Formal,2
CUST-44007,57,Female,Nha Trang,New,Sporty,4
CUST-94646,43,Female,TP. Hồ Chí Minh,Silver,Classic,7
CUST-73201,63,Female,Huế,Gold,Casual,12
CUST-53758,60,Female,Hà Nội,Silver,Elegant,9
CUST-24514,54,Female,Hà Nội,New,Formal,1
CUST-36718,53,Female,Hải Phòng,Silver,Formal,6
CUST-18272,50,Female,Hà Nội,Gold,Elegant,13
CUST-56513,57,Female,Đà Nẵng,Gold,Elegant,9
CUST-43092,49,Male,Hà Nội,New,Classic,2
CUST-16164,53,Female,Nha Trang,Silver,Elegant,4
CUST-40220,58,Female,Đà Lạt,New,Formal,1
CUST-94809,47,Female,Huế,New,Elegant,2
CUST-38034,47,Female,Biên Hòa,New,Sporty,3
CUST-42326,42,Female,Đà Lạt,Silver,Sporty,2
CUST-58462,43,Male,TP. Hồ Chí Minh,Silver,Formal,5
CUST-40632,40,Male,TP. Hồ Chí Minh,New,Casual,0
CUST-67585,57,Female,Đà Lạt,New,Elegant,2
CUST-35457,66,Female,Biên Hòa,New,Formal,2
CUST-50371,63,Female,Vũng Tàu,New,Casual,1
CUST-43542,40,Female,Cần Thơ,Silver,Sporty,4
CUST-59648,57,Female,Hà Nội,New,Classic,2
CUST-94737,63,Female,Biên Hòa,New,Elegant,3
CUST-49431,48,Female,Biên Hòa,Gold,Sporty,18
CUST-33685,52,Male,Hải Phòng,New,Formal,5
CUST-38785,40,Female,Huế,Gold,Elegant,6
CUST-77574,54,Female,Đà Nẵng,Silver,Casual,10
CUST-44226,43,Male,Biên Hòa,Silver,Elegant,5
CUST-73865,53,Female,Hà Nội,Silver,Classic,5
CUST-91551,40,Female,Huế,New,Classic,3
CUST-80123,56,Female,Hà Nội,Silver,Classic,5
CUST-91027,60,Female,TP. Hồ Chí Minh,Silver,Elegant,5
CUST-43140,45,Female,Hà Nội,New,Elegant,1
CUST-65357,42,Female,TP. Hồ Chí Minh,Silver,Classic,2
CUST-80005,40,Female,TP. Hồ Chí Minh,Silver,Elegant,4
CUST-47729,49,Female,Biên Hòa,Gold,Classic,8
CUST-48444,47,Female,Đà Nẵng,Silver,Classic,4
CUST-45732,40,Female,Đà Lạt,New,Casual,0
CUST-68295,55,Female,TP. Hồ Chí Minh,Gold,Casual,17
CUST-41361,48,Female,Hà Nội,Gold,Elegant,11
CUST-60487,43,Female,Nha Trang,Silver,Elegant,5
CUST-61531,47,Female,Cần Thơ,New,Formal,1
CUST-12715,60,Female,Đà Nẵng,Silver,Formal,4
CUST-85737,56,Female,Nha Trang,Silver,Sporty,2
CUST-79825,50,Female,Huế,New,Sporty,2
CUST-19031,56,Female,Đà Nẵng,Gold,Casual,16
CUST-95860,42,Female,Biên Hòa,Silver,Formal,3
CUST-26895,52,Female,Cần Thơ,Gold,Classic,13
CUST-28963,53,Female,Hải Phòng,Silver,Casual,7
CUST-38078,48,Female,TP. Hồ Chí Minh,New,Sporty,1
CUST-67243,55,Female,Hà Nội,Gold,Casual,14
CUST-21198,45,Female,TP. Hồ Chí Minh,Silver,Classic,8
CUST-51116,56,Female,Cần Thơ,Silver,Classic,5
